date,origin,destination,vessel_class,freight_rate
2025-01-01,Australia,Dhamra,Panamax,18.3
2025-01-02,Australia,Dhamra,Panamax,18.26
2025-01-03,Australia,Dhamra,Panamax,18.84
2025-01-04,Australia,Dhamra,Panamax,19.17
2025-01-05,Australia,Dhamra,Panamax,17.8
2025-01-06,Australia,Dhamra,Panamax,17.61
2025-01-07,Australia,Dhamra,Panamax,18.81
2025-01-08,Australia,Dhamra,Panamax,18.66
2025-01-09,Australia,Dhamra,Panamax,18.26
2025-01-10,Australia,Dhamra,Panamax,18.97
2025-01-11,Australia,Dhamra,Panamax,18.18
2025-01-12,Australia,Dhamra,Panamax,17.86
2025-01-13,Australia,Dhamra,Panamax,18.1
2025-01-14,Australia,Dhamra,Panamax,16.91
2025-01-15,Australia,Dhamra,Panamax,17.37
2025-01-16,Australia,Dhamra,Panamax,18.4
2025-01-17,Australia,Dhamra,Panamax,18.24
2025-01-18,Australia,Dhamra,Panamax,18.85
2025-01-19,Australia,Dhamra,Panamax,17.79
2025-01-20,Australia,Dhamra,Panamax,17.3
2025-01-21,Australia,Dhamra,Panamax,19.13
2025-01-22,Australia,Dhamra,Panamax,18.46
2025-01-23,Australia,Dhamra,Panamax,18.97
2025-01-24,Australia,Dhamra,Panamax,18.18
2025-01-25,Australia,Dhamra,Panamax,18.52
2025-01-26,Australia,Dhamra,Panamax,18.59
2025-01-27,Australia,Dhamra,Panamax,17.65
2025-01-28,Australia,Dhamra,Panamax,18.67
2025-01-29,Australia,Dhamra,Panamax,18.42
2025-01-30,Australia,Dhamra,Panamax,18.94
2025-01-31,Australia,Dhamra,Panamax,18.86
2025-02-01,Australia,Dhamra,Panamax,20.14
2025-02-02,Australia,Dhamra,Panamax,18.7
2025-02-03,Australia,Dhamra,Panamax,17.88
2025-02-04,Australia,Dhamra,Panamax,19.11
2025-02-05,Australia,Dhamra,Panamax,18.22
2025-02-06,Australia,Dhamra,Panamax,19.42
2025-02-07,Australia,Dhamra,Panamax,18.22
2025-02-08,Australia,Dhamra,Panamax,18.4
2025-02-09,Australia,Dhamra,Panamax,18.99
2025-02-10,Australia,Dhamra,Panamax,19.13
2025-02-11,Australia,Dhamra,Panamax,18.89
2025-02-12,Australia,Dhamra,Panamax,19.05
2025-02-13,Australia,Dhamra,Panamax,19.27
2025-02-14,Australia,Dhamra,Panamax,18.67
2025-02-15,Australia,Dhamra,Panamax,18.93
2025-02-16,Australia,Dhamra,Panamax,18.76
2025-02-17,Australia,Dhamra,Panamax,19.47
2025-02-18,Australia,Dhamra,Panamax,19.14
2025-02-19,Australia,Dhamra,Panamax,18.21
2025-02-20,Australia,Dhamra,Panamax,19.79
2025-02-21,Australia,Dhamra,Panamax,19.47
2025-02-22,Australia,Dhamra,Panamax,19.09
2025-02-23,Australia,Dhamra,Panamax,19.54
2025-02-24,Australia,Dhamra,Panamax,19.59
2025-02-25,Australia,Dhamra,Panamax,19.63
2025-02-26,Australia,Dhamra,Panamax,18.9
