origin,destination,vessel_class,current_rate
Australia,Dhamra,Panamax,19.0
Australia,Dhamra,Supramax,20.1
Australia,Dhamra,Capesize,17.8
Australia,Paradip,Panamax,21.5
Australia,Paradip,Supramax,22.1
Australia,Paradip,Capesize,20.0
Australia,Visakhapatnam,Panamax,20.5
Australia,Visakhapatnam,Supramax,21.3
Australia,Visakhapatnam,Capesize,19.5
Australia,Gangavaram,Panamax,18.5
Australia,Gangavaram,Supramax,19.5
Australia,Gangavaram,Capesize,17.5
Australia,Gopalpur,Panamax,21.0
Australia,Gopalpur,Supramax,21.8
Australia,Gopalpur,Capesize,19.8
Australia,Sagar-Sandheads,Panamax,22.0
Australia,Sagar-Sandheads,Supramax,22.8
Australia,Sagar-Sandheads,Capesize,20.5
Australia,Haldia,Panamax,22.5
Australia,Haldia,Supramax,23.2
Australia,Haldia,Capesize,21.0
USA,Dhamra,Panamax,32.0
USA,Dhamra,Supramax,33.2
USA,Dhamra,Capesize,29.5
Mozambique,Dhamra,Panamax,24.0
Mozambique,Dhamra,Supramax,25.2
Mozambique,Dhamra,Capesize,22.0
Indonesia,Dhamra,Panamax,16.5
Indonesia,Dhamra,Supramax,17.6
Indonesia,Dhamra,Capesize,15.2
Russia,Dhamra,Panamax,28.0
Russia,Dhamra,Supramax,29.2
Russia,Dhamra,Capesize,26.0
Australia,Dhamra,Handysize,21.0
Australia,Paradip,Handysize,22.5
Australia,Visakhapatnam,Handysize,22.0
Australia,Gangavaram,Handysize,20.0
Australia,Gopalpur,Handysize,22.2
Australia,Sagar-Sandheads,Handysize,23.5
Australia,Haldia,Handysize,24.0
USA,Dhamra,Handysize,34.0
USA,Paradip,Handysize,36.0
USA,Visakhapatnam,Handysize,35.0
USA,Gangavaram,Handysize,33.0
USA,Gopalpur,Handysize,35.5
USA,Sagar-Sandheads,Handysize,37.0
USA,Haldia,Handysize,38.0
Mozambique,Dhamra,Handysize,26.0
Mozambique,Paradip,Handysize,28.0
Mozambique,Visakhapatnam,Handysize,27.0
Mozambique,Gangavaram,Handysize,25.0
Mozambique,Gopalpur,Handysize,27.5
Mozambique,Sagar-Sandheads,Handysize,29.0
Mozambique,Haldia,Handysize,30.0
Indonesia,Dhamra,Handysize,18.0
Indonesia,Paradip,Handysize,19.5
Indonesia,Visakhapatnam,Handysize,19.0
Indonesia,Gangavaram,Handysize,17.5
Indonesia,Gopalpur,Handysize,19.5
Indonesia,Sagar-Sandheads,Handysize,21.0
Indonesia,Haldia,Handysize,22.0
Russia,Dhamra,Handysize,30.0
Russia,Paradip,Handysize,32.0
Russia,Visakhapatnam,Handysize,31.0
Russia,Gangavaram,Handysize,29.0
Russia,Gopalpur,Handysize,31.5
