origin,destination,distance_nm
Australia,Dhamra,3000
Australia,Paradip,3050
Australia,Visakhapatnam,3200
Australia,Gangavaram,3250
Australia,Gopalpur,3100
Australia,Sagar-Sandheads,3350
Australia,Haldia,3400
USA,Dhamra,10500
USA,Paradip,10550
USA,Visakhapatnam,10700
USA,Gangavaram,10750
USA,Gopalpur,10600
USA,Sagar-Sandheads,10850
USA,Haldia,10900
Mozambique,Dhamra,5000
Mozambique,Paradip,5050
Mozambique,Visakhapatnam,5200
Mozambique,Gangavaram,5250
Mozambique,Gopalpur,5100
Mozambique,Sagar-Sandheads,5350
Mozambique,Haldia,5400
Indonesia,Dhamra,2200
Indonesia,Paradip,2250
Indonesia,Visakhapatnam,2400
Indonesia,Gangavaram,2450
Indonesia,Gopalpur,2300
Indonesia,Sagar-Sandheads,2550
Indonesia,Haldia,2600
Russia,Dhamra,7500
Russia,Paradip,7550
Russia,Visakhapatnam,7700
Russia,Gangavaram,7750
Russia,Gopalpur,7600
Russia,Sagar-Sandheads,7850
Russia,Haldia,7900
